Alert ID,Issue Date,Article Title,Disease,Lat,Lng,Location,Cases,Deaths,Rating
10448455,28-06-2024 11:04,Whooping cough: 17 deaths including 14 children in France since the ...,Whooping Cough,46.564499,2.55195,France,,,3
10447696,28-06-2024 11:30,Whooping cough: 12 infant deaths in France since the start of 2024 - ...,Whooping Cough,46.564499,2.55195,France,,,3
10446783,27-06-2024 18:58,CDC Recommends Updated 2024-2025 COVID-19 and Flu Vaccines for ...,Influenza,39.96693,-97.556099,United States,,,1
10446662,28-06-2024 19:37,"Child dies from influenza, Maine CDC says - NewsCenterMaine.com ...",Influenza,45.490898,-69.257896,"Maine, United States",,,3
10445971,27-06-2024 06:15,Central Virginia Health District announces increased whooping cough ...,Whooping Cough,37.648998,-78.3545,"Virginia, United States",,,4
10443547,19-06-2024 03:00,Eight-year-old girl in Hong Kong dies of H3 influenza after having ...,Influenza,22.284,114.150002,Hong Kong,,,3
10443223,29-06-2024 10:00,"QC, Pasig declare pertussis outbreaks - MSN",Whooping Cough,51.069,-73.256897,"Quebec Province, Canada",,,4
10443223,29-06-2024 10:00,"QC, Pasig declare pertussis outbreaks - MSN",Whooping Cough,11.74183,122.878708,Philippines,,,4
10440656,28-06-2024 03:00,Costa Rica faces maximum peak of respiratory virus circulation so far ...,Respiratory Illness,9.9702,-84.187943,Costa Rica,,,1
10440281,28-06-2024 11:14,Whooping cough: 14 children have died from the disease in France ...,Whooping Cough,46.564499,2.55195,France,,,3
10439945,29-06-2024 21:04,In the north of Sinaloa there are no reports of influenza cases: ...,Influenza,25.005899,-107.490303,"Estado de Sinaloa, Mexico",,,3
10439221,29-06-2024 04:00,Eastern Ontario Health Unit warns of rise in whooping cough - CBC.ca,Whooping Cough,51.727001,-86.704201,"Ontario Province, Canada",,,4
10439202,28-06-2024 13:22,Combined COVID-flu vaccines are coming: Moderna jab clears major test ...,Influenza,39.96693,-97.556099,United States,,,1
10439106,28-06-2024 23:48,"Covid still lurks in Pinal, but top doc says flu's a bigger deal - ...",Influenza,39.96693,-97.556099,United States,,,1
10439029,28-06-2024 18:28,Maine CDC confirms child death from influenza - NewsCenterMaine.com ...,Influenza,45.490898,-69.257896,"Maine, United States",,,4
10438956,28-06-2024 16:07,"What does CDC recommend for vaccines in coming COVID, flu season? - ...",Influenza,39.96693,-97.556099,United States,,,1
10438890,28-06-2024 18:23,CDC recommending updated COVID-19 and flu vaccines this fall - ...,Influenza,39.96693,-97.556099,United States,,,1
10438839,28-06-2024 17:35,CDC recommends flu and COVID-19 vaccines for fall and winter - ...,Influenza,39.96693,-97.556099,United States,,,1
10438780,28-06-2024 11:30,Whooping cough: 12 infant deaths in France since the start of 2024 - ...,Whooping Cough,46.564499,2.55195,France,,,3
10438567,28-06-2024 14:10,"CDC advisers make recommendations for COVID, flu, pneumococcal ...",Influenza,39.96693,-97.556099,United States,,,1
10438567,28-06-2024 14:10,"CDC advisers make recommendations for COVID, flu, pneumococcal ...",Pneumonia,39.96693,-97.556099,United States,,,1
10438509,28-06-2024 13:04,"CDC Advisors Back Updated COVID, Flu Vaccines for the Fall - Medpage ...",Influenza,39.96693,-97.556099,United States,,,1
10438510,28-06-2024 13:16,"CDC recommends updated COVID-19, flu shots this fall - Scripps News",Influenza,39.96693,-97.556099,United States,,,1
10438513,28-06-2024 13:54,"CDC recommends new COVID-19, pneumococcal vaccines - Healio",Pneumonia,39.96693,-97.556099,United States,,,1
10438175,28-06-2024 11:31,Whooping cough: 14 child deaths in France since the start of the ...,Whooping Cough,46.564499,2.55195,France,,,3
10438137,28-06-2024 12:10,"A longitudinal study on SARS-CoV-2 seroconversion, reinfection and...",SARS,51.10656,10.39365,Germany,,,3
10437888,28-06-2024 07:41,SARS-CoV-2 antigenemia and RNAemia in association with disease ...,SARS,39.96693,-97.556099,United States,,,3
10437800,28-06-2024 06:45,How many days does bacterial pneumonia last? - ACidade ON - ...,Pneumonia,-21.1775,-47.81028,"Ribeirão Preto, São Paulo, Brazil",,,3
10437760,28-06-2024 05:26,"Concern in Brookline over whooping cough outbreak - Boston News, ...",Whooping Cough,42.358501,-71.059601,"Boston, Massachusetts, United States",,,4
10437520,28-06-2024 01:00,Armenia reports 53 cases of Severe Acute Respiratory Infection - - La ...,Respiratory Illness,40.286201,44.947392,Armenia,,,3
10437279,26-06-2024 14:16,"Flu cases increase in Aragon, but it is still not epidemic - MSN",Influenza,40.22683,-3.64957,Spain,,,3
10437199,27-06-2024 18:18,CDC sets new recommendations for COVID-19 and flu vaccines - ...,Influenza,39.96693,-97.556099,United States,,,1
10437203,27-06-2024 19:02,"Get an updated COVID-19 vaccine, flu shot this fall: CDC panel - USA ...",Influenza,39.96693,-97.556099,United States,,,1
10437081,27-06-2024 17:54,N.B. news: Whooping cough outbreak declared | CTV News - CTV News ...,Whooping Cough,46.709702,-66.049896,"New Brunswick Province, Canada",,,4
10436842,27-06-2024 15:36,"Outbreak of Chickenpox reported in Warden, whooping cough cases ...",Whooping Cough,39.96693,-97.556099,United States,,,4
10436685,27-06-2024 13:48,37-year-old bodybuilder dies in Rio after bacterial pneumonia - ...,Pneumonia,-9,-36,"Alagoas, Brazil",,,3
10436451,27-06-2024 11:58,Bodybuilder Cíntia Goldani dies from complications of pneumonia – ...,Pneumonia,-5,-63,"Amazonas, Brazil",,,3
10436011,26-06-2024 06:00,Flu deaths hit 79 in Ga. - Statesboro Herald,Influenza,32.7318,-83.496101,"Georgia, United States",,,3
10435982,23-06-2024 03:00,Whooping Cough Arrives in Manhattan Beach | Manhattan Beach CA - ...,Whooping Cough,40.713902,-74.003998,"New York City, New York State, United States",,,3
10435646,27-06-2024 02:48,Tuberculosis morbidity and mortality rates decline in Kyrgyzstan - ...,Tuberculosis,41.46505,74.555603,Kyrgyzstan,,,3
10435422,26-06-2024 21:32,Mumbai sees usual rise in flu cases with monsoon arrival - Hindustan ...,Influenza,18.975,72.825798,"Mumbai, Maharashtra, India",,,3
